Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard_Value,Standard Units,Bioactivity,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL1200930,RABEPRAZOLE SODIUM,4,381.43,0,2.99,Rabeprazole (sodium),COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[n-]2)c1C.[Na+],IC50,'=',740,nM,Active,6.13,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,381.433,-0.37748,0,5
CHEMBL1201073,SUCCIMER,4,182.22,0,-0.25,dimercaptosuccinic-acid,O=C(O)[C@H](S)[C@H](S)C(=O)O,IC50,'=',1720,nM,Active,5.76,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,182.222,-0.2476,4,4
CHEMBL1201236,CARBIDOPA,4,226.23,0,-0.05,CARBIDOPA,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O,IC50,'=',3550,nM,Active,5.45,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,226.232,-0.0531,5,5
CHEMBL120563,THIRAM,0,240.44,0,2.06,THIRAM,CN(C)C(=S)SSC(=S)N(C)C,IC50,'=',50,nM,Highly Active,7.3,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,240.444,2.0608,0,4
CHEMBL1255778,BENSERAZIDE HYDROCHLORIDE,0,293.71,1,-1.76,BENSERAZIDE HYDROCHLORIDE,Cl.NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,IC50,'=',140,nM,Active,6.85,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,293.707,-1.3344,7,7
CHEMBL1256832,DIHYDREXIDINE HYDROCHLORIDE,0,303.79,0,2.65,dihydrexidine,Cl.Oc1cc2c(cc1O)[C@H]1c3ccccc3CN[C@@H]1CC2,IC50,'=',1050,nM,Active,5.98,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,303.789,3.0695,3,3
CHEMBL1256915,,0,334.37,0,1.76,eseroline-(-),CN1CC[C@@]2(C)c3cc(O)ccc3N(C)[C@@H]12.O=C(O)/C=C/C(=O)O,IC50,'=',1990,nM,Active,5.7,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,334.372,1.4731,3,5
CHEMBL1271764,,0,374.65,0,2.56,PD119792,CN1CCN(C2=C(Cl)C(=O)N(c3ccc(Cl)c(Cl)c3)C2=O)CC1,IC50,'<',1230,nM,Active,,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,374.655,2.5644,0,4
CHEMBL1271993,,0,361.61,0,2.65,RI-1,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)c(Cl)c1,IC50,'=',1140,nM,Active,5.94,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,361.612,2.6492,0,4
CHEMBL1276871,,0,398.42,0,4.23,2m,COc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,IC50,'=',12000,nM,Inactive,4.92,,,UO_0000065,12.35,0.22,0.69,6.21,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,398.418,4.2279,1,4
CHEMBL1277046,,0,393.4,0,4.09,2p,N#Cc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,IC50,'=',5500,nM,Intermediate,5.26,,,UO_0000065,13.37,0.24,1.17,5.61,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,393.402,4.09098,1,4
CHEMBL1277047,,0,452.39,1,5.12,2q,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(OC(F)(F)F)cc3)N=C2c2ccccc2)cc1,IC50,'=',42000,nM,Inactive,4.38,,,UO_0000065,9.67,0.18,-0.74,5.53,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,452.388,5.1179,1,4
CHEMBL1277135,,0,402.84,0,4.87,2r,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc(Cl)c3)N=C2c2ccccc2)cc1,IC50,'=',10800,nM,Inactive,4.97,,,UO_0000065,12.33,0.23,0.1,7.1,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,402.837,4.8727,1,3
CHEMBL1277136,,0,437.28,1,5.53,2s,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)c(Cl)c3)N=C2c2ccccc2)cc1,IC50,'=',24300,nM,Inactive,4.61,,,UO_0000065,10.55,0.21,-0.92,6.59,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,437.282,5.5261,1,3
CHEMBL1277227,,0,386.38,0,4.36,2t,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,IC50,'=',6800,nM,Intermediate,5.17,,,UO_0000065,13.37,0.24,0.81,7.39,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,386.382,4.3584,1,3
CHEMBL1277228,,0,413.39,0,4.13,2u,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2c2ccccc2)cc1,IC50,'=',8400,nM,Intermediate,5.08,,,UO_0000065,12.28,0.22,0.95,4.49,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,413.389,4.1275,1,5
CHEMBL1277661,HINOKIOL,0,302.46,0,4.52,2,CC(C)c1cc2c(cc1O)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC2,IC50,'=',233400,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,302.458,4.5166,2,2
CHEMBL1277662,18-OXOFERRUGINOL,0,300.44,0,4.72,4,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(C=O)[C@@H]1CC2,IC50,'=',163200,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,300.442,4.7248,1,2
CHEMBL1277754,,0,344.5,0,4.74,5,CC(=O)Oc1cc2c(cc1C(C)C)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CO,IC50,'=',128900,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,344.495,4.7379,1,3
CHEMBL1277840,KAYADIOL,0,306.49,0,4.48,8,C=C1CC[C@H]2[C@](C)(CO)CCC[C@]2(C)[C@H]1CC/C(C)=C\CO,IC50,'=',137700,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,306.49,4.4764,2,2
CHEMBL1277944,,0,368.39,0,4.22,2d,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,IC50,'=',18000,nM,Inactive,4.75,,,UO_0000065,12.88,0.23,0.52,6.78,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,368.392,4.2193,1,3
CHEMBL1278125,,0,402.84,0,4.87,2i,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)cc3)N=C2c2ccccc2)cc1,IC50,'=',13900,nM,Inactive,4.86,,,UO_0000065,12.06,0.23,-0.01,6.94,FALSE,CHEMBL1285497,Inhibition of SARS coronavirus 3C-like protease by fluorescence plate reader analysis,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275368,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,402.837,4.8727,1,3
CHEMBL12798,METHYL DEHYDROABIETATE,0,314.47,0,4.99,6,COC(=O)[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,IC50,'=',207000,nM,Inactive,,Outside typical range,,UO_0000065,,,,,FALSE,CHEMBL1286522,Inhibition of SARS coronavirus 3C-like protease after 60 mins by FRET assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1275337,1,Scientific Literature,Bioorg. Med. Chem.,2010,None,,314.469,4.9933,0,2
CHEMBL128251,IOCANLIDIC ACID,0,444.4,1,6.99,omega-(4-Iodophenyl)pentadecanoic_acid,O=C(O)CCCCCCCCCCCCCCc1ccc(I)cc1,IC50,'=',2250,nM,Active,5.65,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,444.397,6.9896,1,1
CHEMBL1315054,,0,476.53,0,4,7,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3ccccc3[N+](=O)[O-])o2)C(=O)NCCCN(C)C)cc1,IC50,'=',41390,nM,Inactive,4.38,,,UO_0000065,9.2,0.17,0.38,3.72,FALSE,CHEMBL1777452,Inhibition of SARS coronavirus recombinant 3C-like protease expressed in Escherichia coli BL21(DE3) after 30 mins by FRET based assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1773021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,,476.533,4.00202,2,6
CHEMBL1350514,,0,476.53,0,4,6,Cc1ccc(C(=O)N/C(=C\c2ccc(-c3cccc([N+](=O)[O-])c3)o2)C(=O)NCCCN(C)C)cc1,IC50,'=',38570,nM,Inactive,4.41,,,UO_0000065,9.26,0.17,0.41,3.75,FALSE,CHEMBL1777452,Inhibition of SARS coronavirus recombinant 3C-like protease expressed in Escherichia coli BL21(DE3) after 30 mins by FRET based assay,B,BAO_0000019,assay format,SARS coronavirus,None,None,None,None,,,,CHEMBL5118,Replicase polyprotein 1ab,SARS coronavirus,SINGLE PROTEIN,CHEMBL1773021,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2011,None,,476.533,4.00202,2,6
CHEMBL1356238,PYRITHIONE,0,127.17,0,0.61,PYRITHIONE,[O-][n+]1ccccc1S,IC50,'=',50,nM,Highly Active,7.3,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,127.168,0.6087,1,2
CHEMBL1374426,,0,183.16,0,-0.18,MIRA-1,CCC(=O)OCN1C(=O)C=CC1=O,IC50,'=',290,nM,Active,6.54,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,183.163,-0.1779,0,4
CHEMBL1380480,VANITIOLIDE,0,253.32,0,1.41,VANITIOLIDE,COc1cc(C(=S)N2CCOCC2)ccc1O,IC50,'=',1320,nM,Active,5.88,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,253.323,1.4085,1,4
CHEMBL1397952,,0,415.49,1,5.25,HQ-415,CCOc1cc(C(Nc2cc(C)ccn2)c2ccc3cccnc3c2O)ccc1OC,IC50,'<',270,nM,Active,,,Dtt Insensitive,UO_0000065,,,,,FALSE,CHEMBL4495583,SARS-CoV-2 3CL-Pro protease inhibition IC50 determined by FRET kind of response from peptide substrate,F,BAO_0000019,assay format,Severe acute respiratory syndrome coronavirus 2,None,None,None,None,,,,CHEMBL4523582,Replicase polyprotein 1ab,Severe acute respiratory syndrome coronavirus 2,SINGLE PROTEIN,CHEMBL4495564,52,SARS-CoV-2 Screening Data 2020-21,,2020,None,,415.493,5.25262,2,6
